549,Remote Recording Engineer
550,Cover Art Concept
551,Recording Arranger
552,Disc Transfers
553,Trap Kit
554,Orchestra Bells
555,Slapstick
556,Vibraslap
557,Wood Block
558,Drums (Bass)
559,Drums (Steel)
560,Musical Saw
561,Temple Blocks
562,Project Manager
563,Latin Percussion
564,Percussion (African)
565,Afuche
566,Concert Toms
567,Tom-Tom
568,Introduction
569,Audio Supervisor
570,Series Supervision
571,Creative Producer
572,Korg M1
573,Cabasa
574,Synthesizer Strings
575,Guitar (12 String Electric)
576,Guita Fl̩
577,Bagpipes
578,Repackaging Design
579,Production Notes
580,Stylist
581,Sax (Bass)
582,Liner Note Art
583,Lyricon
584,Wardrobe
585,Harmonica Arrangements
586,Layout Concept
587,General Coordination
588,Tenor Violin
589,Orchestral Arrangements
590,Tributee
591,Assistant Director
592,Cavaquinho
593,Sound Design
594,ARP Synthesizer
595,Guitar (Steel)
596,String Ensemble
597,String Director
598,Essay
599,Member of Additional Personnel
600,Vocal Contractor
601,Remix Assistant
602,Artist Consultant
603,Copyist
604,Clavichord
605,Electric Trumpet
606,Vocal Director
607,Liner Note Graphics
608,Sax (Sopranino)
609,Washboard
610,Sax Technician
611,Logo
612,Banjo
613,Lettering
614,Executive Director
615,Music Supervisor
616,Artistic Director
617,Mastering Coordination
618,Technical Support
619,Music Copyist
620,Audio Consultant
621,Photo Stylist
622,Supervising Engineer
623,Make-Up
624,Stylistic Assistant
625,Chamber Ensemble
626,Art Assistant
627,Basso Continuo
628,Overdub Coordinator
629,Series Concept
630,Remote Supervisor
631,Remote Audio Supervisor
632,Technician
633,Basset Clarinet
634,Choir Director
635,A&R Assistance
636,Associate Engineer
637,E Flat Trumpet
638,Technical Engineer
639,Editorial Director
640,Logo Art
641,Choir Conductor
642,Story Writer
643,Cornemuse
644,Balance Engineer
645,Obbligatto Vocals
646,Music Contractor
647,Contrabass
648,String Quartet
649,Text
650,Post Production Director
651,Copy Writer
652,Promotions Director
653,Album Supervision
654,Rhythm Programming
655,12-String Bass Guitar
656,Percussion Arrangement
657,Clothing/Wardrobe
658,Syndrum
659,Synthesizer Arrangements
660,Moog Bass
661,Songwriter
662,Horn Engineer
663,String Engineer
664,Various Instruments
